round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
185,101,3,3,5,2,0,9,1,-54.0,0.1193
186,109,0,0,2,1,0,8,1,-89.7,0.1187
187,119,1,1,5,2,0,7,1,-58.8,0.1181
188,385,1,1,5,2,0,31,1,-155.6,0.1175
189,163,2,2,5,2,0,13,1,-79.5,0.1169
190,60,0,0,4,1,0,6,1,-76.0,0.1163
191,109,2,2,7,2,0,10,1,-62.3,0.1157
192,400,1,1,5,2,0,18,0,-75.2,0.1152
193,20,0,0,3,1,0,4,1,-66.7,0.1146
194,400,0,0,4,2,0,17,0,-56.0,0.114
195,253,2,2,9,2,0,12,1,-72.1,0.1134
196,30,0,0,3,1,0,3,1,-64.5,0.1129
197,178,2,2,8,2,0,15,1,-83.9,0.1123
198,174,2,2,5,2,0,13,1,-77.6,0.1118
199,400,2,2,4,3,0,28,0,-68.0,0.1112
200,260,0,0,2,1,0,19,1,-137.3,0.1106
201,400,9,9,13,10,0,18,0,18.2,0.1101
202,148,0,0,3,1,0,8,1,-89.7,0.1095
203,35,0,0,2,1,0,3,1,-66.5,0.109
204,400,3,3,9,6,0,26,0,-46.9,0.1084
205,240,0,0,5,2,0,12,1,-88.2,0.1079
206,139,1,1,4,2,0,17,1,-94.0,0.1074
207,17,0,0,3,1,0,0,1,-58.1,0.1068
208,67,0,0,1,1,0,2,1,-58.3,0.1063
209,69,0,0,3,1,0,6,1,-76.9,0.1058
210,400,3,3,5,2,0,22,0,-63.6,0.1052
211,121,0,0,4,1,0,8,1,-85.9,0.1047
212,400,0,0,4,4,0,13,0,-50.2,0.1042
213,193,0,0,3,1,0,12,1,-100.4,0.1037
214,400,4,4,7,6,0,17,0,-16.0,0.1031
215,79,0,0,4,2,0,7,1,-64.9,0.1026
216,241,2,2,14,5,0,14,1,-62.2,0.1021
217,293,0,0,9,2,0,13,1,-92.2,0.1016
218,125,2,2,6,2,0,6,1,-48.8,0.1011
219,192,1,1,8,3,0,12,1,-70.6,0.1006
220,118,0,0,4,1,0,10,1,-89.7,0.1001
221,400,5,5,9,3,0,16,0,-10.2,0.0996
222,18,0,0,2,1,0,1,1,-62.6,0.0991
223,87,0,0,4,1,0,5,1,-73.4,0.0986
224,251,0,0,4,1,0,14,1,-110.1,0.0981
225,400,3,3,4,5,0,17,0,-43.8,0.0976
