round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
3026,7,0,0,3,1,0,0,1,-42.1,0.05
3027,400,2,2,31,42,0,14,0,148.8,0.05
3028,61,0,0,25,8,0,5,1,3.2,0.05
3029,199,1,1,15,12,0,8,0,32.6,0.05
3030,77,6,1,20,10,1,2,1,49.7,0.05
3031,248,9,4,27,28,1,6,1,121.4,0.05
3032,41,1,1,20,6,0,4,1,-14.1,0.05
3033,20,0,0,11,3,0,2,1,-34.3,0.05
3034,74,1,1,23,10,0,2,1,25.7,0.05
3035,34,1,1,17,5,0,5,1,-16.1,0.05
3036,108,2,2,22,14,0,2,1,46.4,0.05
3037,41,0,0,16,6,0,1,1,-14.6,0.05
3038,400,1,1,26,34,0,3,0,95.3,0.05
3039,72,1,1,26,9,0,6,0,33.4,0.05
3040,304,1,1,23,36,0,5,1,112.1,0.05
3041,45,0,0,12,4,0,1,1,-39.2,0.05
3042,84,2,2,23,10,0,5,1,40.6,0.05
3043,15,1,1,5,2,0,1,1,-32.5,0.05
3044,64,1,1,17,9,0,3,1,-4.7,0.05
3045,42,2,2,15,6,0,4,1,1.4,0.05
3046,34,0,0,11,5,0,3,1,-31.5,0.05
3047,400,0,0,17,52,0,12,0,112.8,0.05
3048,304,2,2,27,36,0,8,1,58.9,0.05
3049,58,0,0,14,8,0,4,1,-9.0,0.05
3050,64,6,1,19,9,1,1,1,43.4,0.05
3051,47,0,0,14,7,0,0,1,-12.7,0.05
3052,400,3,3,21,55,0,6,0,126.2,0.05
3053,249,7,2,35,31,1,8,1,139.7,0.05
3054,203,3,3,38,24,0,5,1,135.0,0.05
3055,69,2,2,16,9,0,1,1,23.5,0.05
3056,164,3,3,34,22,0,5,1,110.4,0.05
3057,162,4,4,30,21,0,2,1,104.4,0.05
3058,20,0,0,7,3,0,0,1,-26.9,0.05
3059,55,0,0,26,8,0,3,1,5.2,0.05
3060,400,1,1,30,49,0,10,0,164.2,0.05
3061,32,2,2,10,4,0,1,1,-20.4,0.05
3062,20,0,0,9,3,0,2,1,-39.6,0.05
3063,400,4,4,37,41,0,14,0,189.8,0.05
3064,400,2,2,29,44,0,4,0,153.2,0.05
3065,119,3,3,26,13,0,9,1,42.2,0.05
3066,47,1,1,15,7,0,2,0,22.1,0.05
3067,145,6,1,27,17,1,2,1,104.8,0.05
3068,386,3,3,34,48,0,15,1,120.0,0.05
3069,400,4,4,25,38,0,8,0,132.8,0.05
3070,400,2,2,32,41,0,12,0,100.0,0.05
3071,71,2,2,18,8,0,5,1,18.7,0.05
3072,134,1,1,25,16,0,6,1,34.0,0.05
3073,43,1,1,16,6,0,2,1,-8.7,0.05
3074,27,1,1,8,4,0,2,1,-22.1,0.05
3075,400,1,1,28,54,0,18,0,149.0,0.05
3076,44,1,1,20,6,0,5,1,-16.7,0.05
3077,334,2,2,32,39,0,15,1,95.9,0.05
3078,125,6,1,23,12,1,6,1,42.1,0.05
3079,78,5,0,17,10,1,2,1,46.8,0.05
3080,147,5,0,34,17,1,3,1,103.7,0.05
3081,137,3,3,39,19,0,4,1,90.5,0.05
3082,67,0,0,26,9,0,4,1,10.4,0.05
3083,36,0,0,14,5,0,4,1,-27.5,0.05
3084,61,0,0,13,6,0,3,0,-19.0,0.05
3085,13,0,0,9,2,0,1,1,-38.2,0.05
3086,78,1,1,36,11,0,5,1,29.6,0.05
3087,20,0,0,6,3,0,6,1,-50.1,0.05
3088,72,1,1,25,9,0,3,1,27.3,0.05
3089,400,0,0,26,40,0,8,0,88.8,0.05
3090,228,3,3,26,25,0,9,1,55.9,0.05
3091,291,7,2,31,34,1,10,0,128.3,0.05
3092,46,1,1,19,6,0,3,1,-3.4,0.05
3093,400,4,4,37,42,0,7,0,135.0,0.05
3094,107,2,2,18,14,0,6,1,10.9,0.05
3095,157,2,2,32,20,0,3,1,92.7,0.05
3096,297,8,3,45,34,1,6,1,150.6,0.05
3097,214,0,0,30,27,0,8,1,41.9,0.05
3098,380,1,1,26,48,0,7,1,62.8,0.05
3099,26,1,1,10,4,0,2,1,-19.6,0.05
3100,240,2,2,24,29,0,10,1,57.5,0.05
3101,54,0,0,14,8,0,1,0,14.8,0.05
3102,300,1,1,18,39,0,7,1,45.0,0.05
3103,69,2,2,19,9,0,6,0,26.0,0.05
3104,294,5,5,34,37,0,1,1,119.5,0.05
3105,27,0,0,11,4,0,1,1,-29.1,0.05
3106,306,3,3,32,37,0,10,1,88.7,0.05
3107,72,1,1,17,10,0,2,1,17.5,0.05
3108,63,3,3,18,8,0,6,1,9.2,0.05
3109,376,4,4,30,50,0,12,1,107.7,0.05
3110,20,0,0,6,3,0,2,1,-39.8,0.05
3111,137,1,1,19,17,0,7,1,11.6,0.05
3112,208,3,3,28,26,0,4,1,62.2,0.05
3113,105,0,0,30,15,0,2,1,47.6,0.05
3114,43,1,1,20,6,0,3,1,-2.4,0.05
3115,13,0,0,5,2,0,4,1,-49.6,0.05
3116,5,0,0,2,1,0,3,1,-55.0,0.05
3117,214,3,3,26,27,0,7,1,85.0,0.05
3118,13,0,0,5,2,0,0,1,-36.8,0.05
3119,400,2,2,26,39,0,3,0,83.6,0.05
3120,88,4,4,32,10,0,5,1,56.7,0.05
3121,370,2,2,33,48,0,5,1,130.4,0.05
3122,400,4,4,41,47,0,14,0,146.0,0.05
3123,276,5,5,34,32,0,16,0,86.1,0.05
3124,22,0,0,9,3,0,4,1,-41.8,0.05
3125,40,0,0,16,5,0,3,1,-11.0,0.05
3126,27,1,1,12,4,0,3,1,-23.7,0.05
3127,45,2,2,20,5,0,3,1,12.8,0.05
3128,36,0,0,15,5,0,1,1,-21.3,0.05
3129,42,2,2,18,5,0,4,1,-2.3,0.05
3130,13,0,0,5,2,0,0,1,-41.2,0.05
3131,48,3,3,20,6,0,2,1,12.7,0.05
3132,43,0,0,22,6,0,5,1,-24.7,0.05
3133,317,4,4,39,35,0,7,1,163.5,0.05
3134,81,2,2,33,10,0,8,1,23.8,0.05
3135,208,2,2,32,15,0,8,0,72.4,0.05
3136,5,0,0,3,1,0,0,1,-41.0,0.05
3137,6,0,0,3,1,0,0,1,-40.6,0.05
3138,32,1,1,12,4,0,5,1,-25.3,0.05
3139,400,4,4,20,42,0,9,0,123.7,0.05
3140,58,0,0,18,8,0,3,1,0.2,0.05
3141,131,2,2,26,18,0,6,1,26.8,0.05
3142,270,1,1,43,31,0,9,1,76.5,0.05
3143,20,0,0,10,3,0,2,1,-37.6,0.05
3144,400,1,1,24,47,0,8,0,162.3,0.05
3145,99,2,2,39,13,0,5,1,69.6,0.05
3146,47,2,2,24,6,0,1,1,12.7,0.05
3147,52,1,1,17,6,0,0,1,9.4,0.05
