round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1403,400,2,2,3,1,0,7,0,-14.5,0.05
1404,400,3,3,7,5,0,10,0,-6.8,0.05
1405,21,0,0,3,1,0,5,1,-69.2,0.05
1406,400,0,0,2,1,0,11,0,-39.4,0.05
1407,400,1,1,1,1,0,12,0,-28.7,0.05
1408,280,0,0,3,1,0,8,1,-92.0,0.05
1409,400,4,4,7,5,0,15,0,-9.0,0.05
1410,89,1,1,6,2,0,6,1,-55.6,0.05
1411,400,2,2,3,1,0,15,0,-25.7,0.05
1412,238,7,7,13,4,0,8,1,-10.0,0.05
1413,400,0,0,9,3,0,8,0,-21.3,0.05
1414,400,1,1,2,1,0,12,0,-37.5,0.05
1415,164,0,0,4,1,0,8,1,-87.1,0.05
1416,400,0,0,2,1,0,11,0,-38.8,0.05
1417,400,1,1,1,1,0,7,0,-19.8,0.05
1418,97,2,2,3,2,0,6,1,-54.1,0.05
1419,163,0,0,4,2,0,4,1,-63.0,0.05
1420,79,0,0,4,1,0,4,1,-69.1,0.05
1421,400,1,1,6,2,0,13,0,-24.1,0.05
1422,207,2,2,4,2,0,13,1,-73.6,0.05
1423,400,0,0,0,0,0,9,0,-44.5,0.05
1424,400,0,0,0,0,0,13,0,-56.9,0.05
1425,144,0,0,4,3,0,12,1,-79.5,0.05
1426,400,1,1,1,2,0,9,0,-29.3,0.05
1427,400,0,0,0,0,0,8,0,-41.2,0.05
1428,127,0,0,2,1,0,6,1,-74.7,0.05
1429,93,0,0,2,1,0,7,1,-70.1,0.05
1430,117,0,0,2,1,0,3,1,-70.5,0.05
1431,400,1,1,2,2,0,13,0,-28.5,0.05
1432,54,0,0,4,1,0,2,1,-62.9,0.05
1433,400,0,0,3,2,0,12,0,-26.5,0.05
1434,400,2,2,6,2,0,3,0,2.7,0.05
1435,26,0,0,3,1,0,4,1,-68.0,0.05
1436,23,0,0,4,1,0,3,1,-62.9,0.05
1437,400,0,0,0,0,0,7,0,-38.6,0.05
1438,400,1,1,4,2,0,13,0,-28.9,0.05
1439,400,0,0,2,1,0,9,0,-20.8,0.05
1440,400,2,2,3,3,0,20,0,-53.3,0.05
1441,118,1,1,4,2,0,8,1,-62.1,0.05
1442,400,1,1,2,1,0,14,0,-46.1,0.05
1443,37,0,0,4,1,0,2,1,-61.6,0.05
1444,400,1,1,5,3,0,13,0,-39.5,0.05
1445,400,1,1,2,1,0,14,0,-44.3,0.05
1446,108,0,0,3,1,0,3,1,-69.1,0.05
1447,400,2,2,2,1,0,8,0,-10.0,0.05
1448,400,0,0,0,0,0,8,0,-41.3,0.05
1449,38,0,0,2,3,0,3,1,-57.3,0.05
1450,96,0,0,3,1,0,4,1,-68.3,0.05
1451,400,6,6,10,4,0,12,0,20.9,0.05
1452,400,2,2,2,1,0,11,0,-31.8,0.05
1453,47,2,2,4,2,0,7,1,-53.1,0.05
1454,400,0,0,0,0,0,12,0,-52.4,0.05
1455,190,0,0,4,1,0,7,1,-85.4,0.05
1456,400,1,1,2,1,0,6,0,-23.6,0.05
1457,400,2,2,3,1,0,10,0,-23.3,0.05
1458,400,2,2,11,6,0,12,0,2.0,0.05
1459,176,2,2,5,3,0,7,1,-49.0,0.05
1460,113,0,0,2,1,0,0,1,-62.8,0.05
1461,400,3,3,9,3,0,12,0,-10.2,0.05
1462,400,3,3,7,6,0,9,0,-5.2,0.05
1463,400,2,2,9,27,0,84,0,-207.0,0.05
1464,400,1,1,3,2,0,17,0,-38.9,0.05
1465,267,0,0,3,1,0,5,1,-69.1,0.05
1466,400,0,0,0,0,0,12,0,-54.3,0.05
1467,230,0,0,4,2,0,11,1,-83.1,0.05
1468,336,0,0,4,1,0,8,1,-98.1,0.05
